,41.01985139001448,0.0,0.0
144*true,789.4210771230858,1058.2973733480833,1174.2161363868806
-66*true,818.940280314033,1122.1350279021126,1266.487382606876
-73*false,889.3069521303385,1013.5275531447684,1150.9351477181608
-165*false,866.1653840679706,958.8224050719954,1088.1079243873007
179*false,917.4616864893458,948.9293667404147,1087.1768020978084
86*false,898.0258743917611,995.4006598366868,1108.5538388890616
-11*true,1011.8142012661547,1132.1494180595928,1317.7742559136218
-56*true,823.7868299119368,1122.592183815784,1278.8985078927064
-17*false,938.253509465632,1038.858401918922,1179.1237764732157
82*false,888.1653923673887,988.3309088947324,1105.6447139235381
1*true,1207.8847616397852,1141.7039744758536,1434.4270406451442
108*true,793.8742624673781,1095.408929048856,1219.4700367672112
-130*false,860.7590996718409,978.8647504780674,1097.5697555441839
-143*true,792.2612724291342,1054.6156307317635,1159.1168130040526
111*true,792.0610098412722,1087.2425734751916,1209.6472815298991
156*true,784.2509513685546,1045.113244750497,1155.5564657544992
93*true,809.3355723154765,1110.1455062246935,1231.684432573851
107*false,871.7874717285904,976.1755797409619,1098.4593961448568
-123*false,906.5031380476069,987.182692771382,1100.6344165106068
22*false,912.0410831424547,1038.7457685003965,1179.8747497705863
-77*false,911.8720975811655,1011.496626602585,1135.3659052590554
-24*false,950.42177391424,1045.2973292211932,1185.7754823668083
-176*false,858.6593476978599,945.1169774914966,1092.3968722133056
75*false,887.8854381626602,996.543636752051,1114.2713520719988
-44*false,878.5785957405054,1026.2575264295922,1171.3496496171044
-37*false,915.0743543033435,1052.587379389807,1185.9284899469874
76*true,818.9758675390817,1127.6715857651739,1246.472068629803
31*true,956.0036811564056,1130.5151009924562,1335.8220985204307
-42*true,860.4159341773636,1129.6743507134845,1295.2219687085849
-87*true,833.2046531300978,1114.8858885343843,1232.048807827024
-128*true,802.8285721610825,1065.3651276603698,1183.4169874705694
114*false,886.8075264741344,964.6450041338296,1094.5702812155473
162*false,872.3647852681036,939.4343826593519,1079.1216228273456
-92*false,893.3181195437339,1007.4509898105619,1122.4099282082498
68*false,901.2479269772555,998.296425602458,1118.475261537363
122*false,869.644859438064,975.510182078375,1115.6241309999673
-54*true,848.7092020228563,1150.031867850254,1273.6897262250636
