,0.0,-0.25,0.0
-114*false,0.0,0.0,0.0
-50*true,-10.0,0.0,0.0
10*false,-14.891231543694627,8.083055633141761,78.68219160398974
-46*false,0.0,-0.025,0.0
-144*false,0.0,0.0,0.0
-32*true,-13.515169434129618,0.0,6.228058290571056
-103*true,-19.5,0.0,0.0
-69*false,-10.0,0.0,0.0
33*false,0.0,-0.4875,7.731877295150402
-9*false,-52.7904783126356,11.3957394979389,74.86911156941756
11*true,-6.796661655614984,5.742558425767012,92.59164505461885
-167*false,-10.0,0.0,0.0
-19*true,-17.74991106434937,10.170486236356652,15.272544827906025
41*false,-9.982949510209126,0.0,0.0
116*true,-10.0,0.0,0.0
-112*false,-10.0,0.0,5.0
-136*true,-10.0,0.0,0.0
-43*false,-18.81078759881059,3.118332901152023,5.0
129*false,0.0,-0.2375,5.2250000000000005
-38*false,0.08991934897214844,-0.2375,0.0
-21*true,6.600841776562589,1.7020712332102423,0.8672973383155411
41*true,0.0,-0.25,0.0
36*true,0.0,-0.4875,2.0171657492913955
36*false,-9.067818286094672,0.9910085320330105,1.2948153750316942
-28*true,-9.320851049626771,0.0,7.174507749172503
-70*true,0.0,-0.2375,0.0
-4*true,22.7758183763601,16.19773744785418,121.99543596553893
27*true,0.0,-0.13933181478362122,0.0
57*false,0.0,0.0,5.852274251844338
-109*false,-10.0,0.0,0.0
-37*true,0.0,2.087455886094634,10.685226222795778
-22*false,-17.99338430363347,6.008359502413809,41.35728657727609
18*true,-16.9265841873583,28.810860478300018,59.32704787329466
-3*true,145.48068887726407,26.19239875025451,195.37330060243949
7*false,-20.4947897306118,21.54438358262415,125.76623682018017
12*true,7.862619059126631,10.761623250784004,38.98166180519391
65*true,-10.0,0.225,5.0
-7*false,-62.49526376305538,17.697358542176506,100.45590272678655
56*true,0.0,0.0,5.2250000000000005
115*true,0.0,-0.25,0.0
-16*false,-39.62220889579897,5.673687641150492,68.80036032995488
-156*true,0.0,0.0,5.0
6*false,-30.465785792700768,16.84845506052745,65.52858738503974
-108*false,-9.764875000000002,0.0,5.0
6*true,-18.211100374595905,8.602491549585116,46.493003658105486
-41*true,-9.772060244719794,0.225,5.0
-170*false,0.0,0.0,5.0
156*false,-10.0,0.0,0.0
94*true,0.0,-0.25,0.0
-66*true,0.0,0.0,6.155170899115717
-73*false,-10.0,0.0,5.0
179*false,0.0,0.0,5.0
-56*true,0.0,0.09026088770205565,12.069863981735978
-11*true,6.7211226529539125,12.931736712203014,65.53005700008512
-17*false,-21.376562871874007,9.438520210146052,54.67377687227381
1*true,79.91361381944684,70.89354870502704,67.76736859380594
111*true,0.0,-0.25,0.4844390625
93*true,0.0,-0.45246875,0.0
-123*false,-10.0,0.0,0.0
22*false,-23.38528550381624,0.8517777063932139,0.0
-24*false,-6.5896946395998315,0.4488750000000001,7.622739020807142
-176*false,-10.0,0.0,0.0
75*false,0.0,0.0,0.0
-44*false,-19.136141740113082,2.3220732754588087,0.0
-37*false,0.0,0.9494594888680983,5.0
31*true,0.0,0.1443410466901851,0.0
-42*true,0.0,0.8494898377881803,31.45762360252763
-87*true,0.0,0.0,0.0
-128*true,-10.0,0.0,5.0
114*false,0.0,0.0,0.0
-92*false,-28.074443162911294,-0.25,0.0
68*false,0.0,0.0,0.0
-54*true,-10.0,2.0057975044901255,0.0
154*true,0.0,0.0,0.0
-31*false,-27.171186977667503,2.493982165075213,19.354399335506024
28*false,0.0,0.32987726564600295,0.0
33*true,0.0,0.6051689154229098,0.3987453250039559
-155*true,0.0,0.0,0.0
-89*true,-9.77461778125,0.0,0.0
113*true,-10.0,0.0,0.0
-115*false,0.0,0.0,5.2250000000000005
28*true,0.0,1.559464506266611,0.03660722808024068
-141*true,0.0,0.0,5.0
35*true,-9.352481293024239,0.4228117513064704,6.641578693850711
14*false,-38.10317981044769,3.158781703663758,42.54101192600405
-25*false,0.0,3.7978811906545955,32.439222382477624
70*false,0.0,0.0,5.0
-29*true,0.0,0.0,17.12095623367022
-5*false,-40.583243169564554,19.7360364426261,85.32587943458446
5*true,19.644913649766323,10.049498711713149,105.8834107597639
67*false,-10.0,-0.25,0.0
27*false,-10.0,-0.25636207323346305,0.0
-176*true,0.0,0.0,0.0
108*false,0.0,0.0,0.0
123*true,-10.0,0.0,4.75
-169*false,0.0,0.0,0.0
-116*false,0.0,-0.25,5.236507797683958
83*false,0.0,0.84498525908277,0.0
-36*false,-15.599740436695642,-0.25,14.798976597928553
15*false,-7.413328832316804,2.347571691832246,34.40444995483702
-77*true,-10.0,0.0,0.0
-76*false,-8.867343750438554,0.0,5.020261600895779
101*true,-10.0,-0.25,0.0
