,-1.153876784830188,0.0,0.0,0.0
5*0-3,-651.741031640539,-379.6915142275319,-669.9482795040612,-41.00275531754363
5*0-0,-96.59421194204992,-563.0191781340434,-343.6884597331401,-643.6320256913893
5*0-1,-215.281952146208,-722.2834162340604,-680.0025242190954,-369.3601843877503
4*2-0,-32.34155953192483,-32.14993583918657,-34.069988559443615,-30.208123678277662
1*4-14,-31.088720212679444,-32.100093566056124,-31.718642409265346,-21.097784083936926
1*4-13,-38.79770735517562,-30.264812188214687,-71.105917462841,-33.15553184752893
1*4-16,-33.3718713046521,-33.872465984142444,-35.362368829431226,-35.47480403615142
1*4-15,-93.19906744049135,-24.54616126916301,-29.209042500839,-30.014701579442754
1*4-10,-33.97405785151661,-33.2133495711676,-36.90520324206896,-33.35708189149238
1*4-12,-29.597627270425978,-27.556054290892618,-30.125175270111317,-29.3102867648846
1*4-11,-30.157906234967978,-30.879601577916958,-139.44413800343094,-28.145314973657918
1*4-17,-31.27378668805428,-31.34448643058594,-31.67663031289037,-32.65903086771229
5*5-15,-209.74579498289964,-491.284344388735,-523.1543430211893,-300.5611407391351
5*5-14,-471.88549392853656,-700.5614615055962,-546.6000903788564,-268.27977895258664
5*5-17,-409.0688436568619,-187.95779195120485,-315.8526719376585,-81.1916944069926
5*5-16,-506.5403173225953,-446.50522878429655,-448.0215886103814,-72.34601252068738
5*5-11,-52.20399254973892,-748.799394253355,-181.62906547077662,-698.56051325982
5*5-10,-46.10092170443866,-435.6957221541483,-44.80748164914686,-735.5520106466203
5*5-13,-39.210909225800954,-487.2391688623553,-503.82116493131633,-360.20719714979344
5*5-12,-43.97479446376101,-254.74545011800473,-125.8748069168612,-350.9395244742551
1*1-3,-24.555785787804737,-33.768578742333794,-33.62741416079853,-32.49747040206541
0*4-3,-39.648796943995244,-300.77256634373737,-132.64225662695657,-285.4524022942087
1*1-4,-18.868231732406823,-110.37529143855701,-31.530074797715578,-139.94106509538716
0*4-4,-194.32624072100282,-641.2550165545443,-76.59790585776472,-693.6433745583973
1*1-1,-24.510769353477475,-63.63859339031094,-28.423833929754377,-28.748766790980326
0*4-5,-63.27219470718765,-645.1667765072443,-157.3052610378697,-734.274502843119
1*1-2,-26.98239859829482,-74.43331008995891,-29.858583622505737,-110.52464563709839
0*4-6,-124.62833119972612,-281.4004563869547,-39.18403735968205,-495.5400328217847
0*4-7,-43.813824186432804,-162.6096435440322,-94.16469968425386,-203.49003709961013
0*4-8,-38.63335329760955,-529.3928509536246,-95.73339527830393,-71.17094550839842
1*1-0,-23.697787506554995,-34.659511670621804,-30.85575233891965,-31.981973659866696
0*4-9,-194.7089743097138,-354.46285588007623,-221.77782483497577,-42.470754289333314
1*1-9,-30.86771421350446,-28.44518912849108,-32.131079702941705,-31.617780978042823
1*1-7,-28.25657320324234,-28.587962846293113,-40.786316492598246,-20.994585242771336
0*4-0,-143.77662624969687,-103.0079735419023,-199.17356558027237,-216.93300016316917
1*1-8,-20.47092031445629,-30.070170134566578,-154.75424664227302,-29.5854113219469
0*4-1,-141.0946522348755,-113.67302677550171,-45.67029863258302,-341.8501960976114
1*1-5,-29.67047086091248,-31.27648641306326,-31.27231885770972,-32.101876446582935
1*1-6,-27.13114709368524,-28.617953943950436,-27.2438781436549,-27.1178210653814
0*4-2,-110.31594095131783,-193.02241996133353,-38.74305123935589,-358.74921463592113
4*2-13,-31.774169852252804,-28.191899032025315,-31.1382896164826,-32.286872647221415
4*2-12,-25.97200727718915,-28.70533118921779,-28.574128550638697,-42.20867612859513
4*2-11,-25.2695150792867,-28.057158433228235,-28.940518509457096,-62.5334187586835
4*2-10,-27.115180022357002,-148.07213860386025,-23.588372549725275,-29.516574960401854
4*2-17,-32.231128122873194,-25.776570412146754,-31.953627520486776,-33.591806777808884
4*2-16,-28.610148401054364,-149.2315885166293,-26.999599089491323,-28.91406846327463
4*2-15,-25.64321168723676,-25.09275935237601,-25.17643393883934,-25.91409003324257
4*2-14,-27.732493087560734,-122.71411118362506,-32.39851897800374,-32.37544722497277
2*0-1,-28.126143955639318,-191.6510064076143,-162.87984225254348,-299.6220476848341
2*0-2,-33.115411710197506,-101.23544523030135,-114.1135061917371,-39.17463863857709
2*0-3,-31.948172576788433,-293.4882085479659,-58.02004351032107,-89.57672962037837
2*0-4,-29.904734189672812,-215.9346482886021,-287.8285806863934,-67.1219165348965
4*3-10,-30.823015768206805,-31.58390727721354,-31.790847068056014,-157.05343150769824
2*0-0,-135.96192437631657,-742.3841880553964,-28.133411645488223,-650.9335608288533
4*3-14,-28.15382526747047,-47.27361289113141,-30.380033752193498,-19.4195820885542
1*5-16,-358.6208665551307,-43.309972864332074,-764.0241941034249,-249.3961835782913
1*5-17,-305.36813129632037,-58.89231314828701,-446.3135115293227,-56.263419370062465
4*3-13,-29.410265358812204,-82.1844879280781,-25.434374836262798,-60.42525216315223
1*5-14,-238.18815270291918,-154.32808027531925,-167.19560054344376,-45.3318052515954
4*3-12,-29.528673730101698,-29.861095635835557,-27.831624785278237,-31.188963743052454
4*3-11,-27.176145644727328,-26.298519439346308,-23.165419447335015,-60.2037844934903
1*5-15,-69.09235551702817,-59.80264255828054,-482.4014275237773,-40.929733228079115
1*5-12,-215.3455413145245,-341.09220838208176,-225.35197252429552,-36.88385173543907
1*5-13,-82.32665817599118,-162.0422721236646,-55.175115676533736,-49.74999747353086
4*3-17,-34.029147836951836,-25.23802412110226,-34.51020650174227,-35.179623671473905
4*3-16,-30.194656870365417,-28.992292917591637,-28.676679791593116,-28.517302805094893
1*5-10,-25.162235240452745,-448.4904146305214,-96.68070045796998,-95.55845187288804
4*3-15,-19.30531307770846,-31.259274707529514,-28.830752918727413,-28.070747079427164
1*5-11,-26.28994329030064,-75.41835939253009,-36.60505223791019,-41.97021034820366
1*2-2,-29.340540956720915,-27.53618612589829,-31.117853049588888,-141.5484268289952
0*3-4,-71.05503940902216,-261.5321329510343,-34.734007446424876,-389.3637720862914
1*2-3,-25.48059238281432,-27.153913014108984,-27.12123095740312,-27.30932741787568
0*3-5,-32.75234953976654,-364.61268370333835,-127.55046164783138,-530.447588783673
1*2-0,-27.935209804636823,-29.639387125792233,-28.70969480408047,-24.08579063151333
0*3-6,-47.65928202113034,-358.35410154031314,-186.08586343932015,-85.46567974404432
1*2-1,-28.180364530472417,-28.41192755761637,-28.490569285241104,-27.462571592022996
0*3-7,-164.16366084887906,-476.9336520698984,-33.916697302559676,-193.0277144940394
0*3-8,-31.53941934693965,-161.45396334720704,-37.32104958526691,-36.048460083449925
0*3-9,-27.81557894293177,-302.89056321516466,-190.95812345395444,-35.449966601427896
1*2-8,-24.07850279692639,-24.35927725725486,-25.593883161081155,-22.668918762840953
1*2-9,-26.89366074132546,-26.613127894534134,-25.854422635857198,-28.458684790806736
1*2-6,-26.151231339134007,-30.91298403058521,-16.30539965091902,-27.64023782787619
0*3-0,-184.41592252549603,-171.66802665828789,-39.34146709303456,-205.28481300082555
1*2-7,-24.801764174863216,-12.583024473824192,-25.40875419601018,-24.479650710123146
0*3-1,-104.39496510871912,-98.94914013806071,-33.5194122615714,-182.19076503778126
1*2-4,-28.171975914984948,-28.413454892664888,-28.10866145055008,-26.488975465468474
0*3-2,-31.855991367437998,-353.32396359689204,-68.13539564751005,-436.90287509942965
1*2-5,-168.97633672364995,-141.9155193783204,-24.76384529498834,-28.920316953457373
0*3-3,-44.77301813939471,-480.5450844064421,-36.76206772247022,-505.8167851669084
2*0-9,-1129.0890051268796,-172.0258673142776,-175.29792116799234,-49.654526186937744
0*1-17,-212.94112115338964,-21.35371788371021,-59.98270249041184,-89.71864132890097
0*1-16,-136.7659010881183,-28.351922667477428,-45.88782663633184,-22.889068019468855
2*0-5,-153.94266565739701,-177.78770456585468,-391.7002575611919,-42.13138099998788
0*1-15,-527.8096764207116,-72.08787545777203,-62.21937604313125,-24.117665434051073
2*0-6,-409.7787338668388,-54.124906407195,-320.737325282963,-48.51572058180493
0*1-14,-529.6163041604622,-39.69319253986255,-514.2014207000792,-80.23535832546587
2*0-7,-288.57096562424414,-125.74212975801733,-382.51922356902634,-45.66844132995962
0*1-13,-305.6097992512498,-33.759260907723345,-142.44495163597082,-59.77915968347992
2*0-8,-301.4145164893299,-81.69841633388587,-345.5210014006545,-48.115524478495324
0*1-12,-157.31873892508276,-111.03578318759382,-300.1666789723947,-27.6957778795129
0*1-11,-356.9016091095121,-48.218502573972444,-426.0598184866652,-181.78994796272485
0*1-10,-116.24485391615238,-32.274960606543026,-578.5399326602064,-33.55088523731519
2*1-0,-26.99693144667941,-154.0030232891315,-25.75366457121617,-165.72685984279718
2*1-1,-27.255622133781454,-26.83301697779041,-28.43045229917692,-27.033934576781764
2*1-2,-25.95899841831123,-153.88787705992723,-23.491492804686906,-26.709794346831323
2*1-3,-26.71917372074821,-26.17544995557025,-27.481999608274087,-18.379951186435775
1*3-1,-27.0331060169604,-28.982935678938947,-28.946272080925638,-130.25096486265895
1*3-2,-27.633955199510382,-27.326924018132107,-26.775641759757793,-29.208211586335388
1*3-0,-26.628121710118716,-25.931863127479847,-26.342144481762062,-24.07646067965985
1*3-9,-24.082647920207176,-29.99297218568921,-29.494232989892485,-31.30801819075984
1*3-7,-27.63957381632536,-137.35230797710366,-27.038248033945653,-28.997770270652957
0*3-10,-175.2242495574785,-42.32371713405432,-131.04354212732707,-84.9567275297939
1*3-8,-29.909416096953795,-32.209407076855534,-23.4660936690844,-31.22005922376471
0*3-11,-294.45763039182515,-35.477633145900114,-296.97031588639186,-38.31261656636159
1*3-5,-26.05100512415438,-40.22539651460684,-28.620174550776788,-28.997482960936757
1*3-6,-28.529431059392188,-29.13070650945449,-21.610455361170043,-29.519495516615304
0*3-12,-370.88271297476336,-255.39959881368623,-397.4847994420059,-122.82651045704158
0*3-13,-402.3388820407796,-78.94896912446708,-319.75946449496934,-45.47723285661144
1*3-3,-27.380430221265936,-29.12255876778947,-25.24732639605445,-93.80308804655147
0*3-14,-493.72676117933145,-47.593145405988935,-276.4159225323548,-129.48922208132353
1*3-4,-31.592768582050937,-30.581248610040998,-30.884789553545154,-31.063546093836262
5*4-14,-131.795789124116,-308.1965851452435,-36.21546821875837,-157.45264906797286
0*3-15,-205.12821229312152,-192.95356815241433,-349.9816622433017,-106.05293901646655
5*4-13,-102.66015491308212,-530.4659869666972,-38.831073701887505,-506.1638520355047
0*3-16,-344.33883991562374,-59.65296241336935,-169.7255865635173,-53.772660147756106
5*4-16,-41.95774599743871,-194.31064902890037,-280.6756295964009,-308.7273687560513
0*3-17,-176.59488080911157,-52.59574980926995,-123.14254355888094,-101.39001796746484
5*4-15,-46.64707743758557,-568.3323169430768,-41.97263190008422,-240.1627360888678
5*4-17,-236.3032957981925,-464.0703485593754,-337.7146988241671,-45.46374847098363
2*1-8,-30.4184083228901,-26.476510168493604,-171.38899954617887,-29.296649448962345
2*1-9,-126.87449770518192,-24.583013168172478,-21.009899627259752,-27.151183857221422
2*1-4,-18.947277930208354,-27.292913749298734,-27.330072196730193,-26.24785721794693
5*4-10,-32.58713382145122,-35.31550132472119,-29.469015707885923,-132.03004828707495
2*1-5,-29.584091212419978,-33.62184626328358,-32.20118105196687,-31.732752824007058
2*1-6,-31.87634632140973,-138.43443108653585,-32.38926285029121,-29.993493070870098
5*4-12,-53.89169463068491,-292.5263840475918,-40.853895881314365,-687.6523408048209
2*1-7,-31.017119621191295,-30.1894477162543,-170.09230555510194,-28.283045104483904
5*4-11,-30.291547593919542,-466.92958859812745,-37.10116101466737,-309.4363236967697
3*0-6,-112.57686932365695,-45.289597623814934,-617.7061118617453,-184.55376288491405
3*0-7,-50.805163022626516,-62.62282167657129,-754.0790071142488,-32.28699133713543
3*0-4,-34.24891721989709,-37.546333886188116,-146.6734187308701,-36.696282084133
3*0-5,-52.77836067347347,-173.62744541614086,-112.4323043973019,-78.22978453997135
3*0-8,-544.6095899378874,-28.975530390093436,-559.3226050191386,-141.5978726583485
3*0-9,-396.88668926675825,-34.86738431414011,-407.4868546366905,-43.10359956599126
5*3-12,-42.55493003813839,-710.694748706677,-46.008109211153396,-644.562603261524
2*2-0,-22.734793904694385,-30.654385781632897,-31.366729905366668,-26.690064703345037
5*3-13,-58.79124405440465,-483.9604948984245,-31.05260261928493,-853.195900422595
2*2-1,-108.41957875688946,-32.21711169414804,-35.90939790500467,-33.96039932800069
5*3-14,-35.654332422781806,-259.6555431260409,-107.66845847764431,-136.61679520662653
2*2-2,-30.53566985835835,-31.329459517828806,-24.86029170069902,-29.84821554600636
5*3-15,-119.99859484830166,-766.002207117375,-34.67214839989643,-46.86215253077401
5*3-16,-33.502469493323744,-194.47658287535054,-34.01257049325951,-35.22163785646076
5*3-17,-98.3889199204559,-330.8963867577357,-89.80680955212573,-45.85353535177175
3*0-16,-37.095110343298124,-197.30515206135124,-102.30662363940164,-387.6114941743298
0*2-17,-157.01802902513148,-28.291210301873164,-27.849988346898986,-134.64890453516264
3*0-15,-37.469438075595605,-89.74728024263686,-36.08781295828148,-241.71938507608613
0*2-16,-295.33465557202845,-33.94670351164973,-49.66170615082142,-28.78462516904369
0*2-15,-402.5582514675999,-37.81943836697212,-179.97150715431636,-136.82356118326805
5*3-10,-88.25299909761934,-114.06402207829652,-33.84959382540532,-371.66140829998955
3*0-17,-37.71089703884927,-751.9674656061877,-281.51829575862206,-427.90205368740266
0*2-14,-528.1375270428088,-179.20380640323253,-291.79401117216787,-40.095411807981904
5*3-11,-32.19181421742732,-59.125638649983514,-67.9869069321114,-693.7394096046338
0*5-2,-554.1147825840674,-70.1072522197702,-343.8693734545367,-586.8386505671971
1*4-0,-56.815534197559465,-27.39705750309151,-22.029292081123728,-30.703830301692864
3*0-12,-293.8257921910135,-36.94240244178076,-33.79768729157102,-35.998391767912246
0*2-13,-393.3450130819943,-36.41733075853602,-452.80619377173343,-334.19613002014967
0*5-3,-584.1429295239298,-580.2162178120184,-148.35841810951672,-573.0664529720425
0*2-12,-264.68563562412834,-74.44749581356514,-219.09200498179257,-38.195464711050164
1*4-1,-71.957044781205,-26.172190376953026,-28.34990730758058,-30.21781576439757
3*0-11,-65.61519941790141,-135.99411386452334,-47.280686138643325,-36.05669562529368
0*5-4,-205.80433630101018,-375.25134188128396,-50.19071127510739,-458.82056772334187
0*2-11,-179.31889747940028,-42.32300235184435,-553.4581218306934,-135.86549552386543
3*0-14,-153.22566926153343,-215.44127240324514,-89.44208679925143,-288.6965208751145
0*2-10,-337.2065317486985,-43.833563697447474,-612.1786799231403,-194.09878552026794
3*0-13,-34.10584312946561,-31.616910962879796,-34.21143477854893,-64.13719494280139
0*5-5,-170.0787989566488,-346.44757803776577,-48.532710083242826,-422.79619257069567
0*5-6,-60.82110832668967,-469.78039956261773,-68.8847699171438,-174.52453335581745
0*5-7,-47.21623131606172,-481.50594597052975,-82.36534669532048,-661.3856767721511
0*5-8,-127.4574919841259,-696.7904281809996,-274.4140448247755,-451.74229097882557
3*0-10,-792.9629216243057,-35.1083500354185,-188.45009111950773,-156.18367676875357
0*5-9,-114.72158114972308,-595.9590830242574,-274.2709555477809,-496.10766947384946
1*4-8,-25.80226672971919,-29.185914788838062,-28.799999969860217,-58.68023392856627
1*4-9,-30.49027095147386,-29.998241262808037,-36.09805795756563,-29.46326576002393
1*4-6,-98.95093368414487,-140.47810239906622,-35.9275620478494,-153.84992402998841
1*4-7,-30.808992085883766,-32.741977504838815,-26.961712798269293,-72.15815173667782
1*4-4,-28.61487405824245,-30.571301807828995,-30.153845829818284,-33.91751649329881
1*4-5,-32.44925859462848,-50.04387137983229,-50.70904156325841,-40.0216889353625
0*5-0,-137.36321769531767,-185.68359807309542,-351.8448426463731,-165.30066141052095
1*4-2,-34.128066812389804,-24.99033825417106,-31.7611368843325,-31.809709932818784
0*5-1,-435.93105105515997,-50.19323332124883,-299.35946169399017,-464.55307654451235
1*4-3,-30.851278430198903,-30.632184943820274,-29.767722547676,-33.13237809255728
4*4-10,-27.862157810953487,-161.3751038430129,-27.917823314998472,-30.140323363978663
4*4-11,-27.943536790712873,-32.32902428625746,-31.81025997908741,-32.12828150969834
2*2-7,-30.610603127056976,-32.27321764572721,-32.21542121322231,-32.88704109960281
4*4-16,-30.639373804230534,-33.69337965705278,-152.41126569555112,-32.31102781410626
2*2-8,-31.313876487355053,-34.38237860773032,-34.15279930696625,-33.33438105995218
4*4-17,-33.6978083121947,-33.18995000827539,-105.56663634483867,-31.7355570974874
2*2-9,-28.848134345663038,-29.77885568579272,-27.20644517791576,-29.485634866964403
2*2-3,-27.262484483665745,-27.160871147482617,-22.766774666900222,-27.606556719706983
4*4-12,-29.813959590796816,-31.865453352900055,-32.290685396052865,-114.96818415013533
4*4-13,-32.64149646986332,-34.49572507062417,-33.7148726636556,-58.52370951272251
2*2-4,-24.294923881625543,-22.274163221193426,-23.9900392545151,-24.001679570707786
2*2-5,-27.058352293219215,-28.134722634858427,-22.91862779726844,-27.75140806323821
4*4-14,-35.22443863007626,-161.62076679802607,-32.56191127189651,-34.38691795842596
2*2-6,-28.112321542863235,-25.112532139704996,-28.714091667207775,-27.68359706874554
4*4-15,-29.47974918101234,-61.367228720726054,-35.63075698391228,-34.75421667204948
3*0-2,-36.43775839986756,-407.1104772542464,-39.488196141376314,-40.18249559412022
3*0-3,-40.61941235291481,-167.73039271802762,-42.811216617773965,-45.855433423025524
3*0-0,-201.72291249774813,-447.87554710241545,-34.82522073536258,-921.2779354743885
3*0-1,-30.529952417490083,-429.99098176312947,-172.56345885193352,-273.43154324077244
0*4-10,-47.74195594746748,-76.13234172333313,-83.2221681541544,-73.3870984349042
0*4-11,-208.59103257805006,-145.79309250271933,-499.38619778065464,-210.10722315708614
0*4-12,-187.58295609535747,-131.0612291922626,-253.42124240659305,-33.83213287867281
0*4-13,-189.04035792721547,-39.63780095973036,-208.46192574387408,-163.05521534455045
0*4-14,-692.7438951368082,-36.092710155689794,-250.11519761079236,-38.34631342716703
0*4-15,-407.0641643451582,-184.69662081571866,-132.57644680113071,-73.17158275778556
0*4-16,-527.1446610247291,-50.00063150485185,-326.18832482695836,-51.20010722129471
0*4-17,-250.32998291985803,-32.10324123969279,-204.30368676838583,-109.73901912293749
5*5-9,-71.43287317383361,-550.8525579169124,-189.79018785985306,-458.5926985139678
5*5-7,-190.87542345480767,-515.2736824781329,-37.51636466749927,-580.953355317176
5*5-8,-332.39855805847907,-466.95218841665184,-38.84159461425108,-391.3815236113161
5*5-5,-410.728564448925,-135.13830658753685,-238.39144627654468,-414.5553959806579
5*5-6,-694.8130109717088,-75.19987597088483,-206.88216267939103,-278.6428145395525
0*0-7,-193.33433080785235,-655.6472459133743,-614.4651035095773,-101.84505343129729
5*5-3,-343.9296432679399,-137.3291792843644,-453.18592727387744,-187.76844157500278
0*0-8,-501.03875825538375,-470.59450061005845,-1015.1940228810157,-117.39875267419306
5*5-4,-294.33608839232363,-52.05717715364551,-313.8679408439594,-224.26294285055155
0*0-9,-831.7095393820638,-244.34375915146632,-744.8291648971399,-52.25038737806772
5*5-1,-830.1544856872199,-146.65665297445997,-384.70542841433416,-46.99358242011352
5*5-2,-483.81157601260117,-45.618243088296246,-321.9314868835605,-67.69362742048502
5*5-0,-226.00037975698876,-188.70675647778884,-406.15309219505355,-107.892627154877
0*0-0,-181.55037533881173,-411.1469694073956,-64.91129099642336,-406.955016822532
0*0-1,-194.63849077590237,-379.6591271659329,-68.86959889433652,-613.8701791434027
0*0-2,-217.95729610057455,-498.42424261467926,-44.80358597681144,-529.5598515510039
0*0-3,-48.410538458849736,-735.8879903018408,-91.36730157040199,-527.3382172657127
0*0-4,-53.26612562485576,-675.3205478878485,-317.32908809266775,-560.6996904285926
0*0-5,-175.5372539083727,-844.2924578054416,-435.0723308506838,-498.71579487510985
0*0-6,-68.1716579275401,-311.7773758941926,-419.9529380975132,-311.9297914344783
2*4-12,-29.048246435297067,-29.272251383592124,-27.473619802687438,-30.511290780070883
2*4-13,-29.676676146520975,-22.487739555321234,-30.467558358261453,-29.868134317696338
2*4-10,-28.19117120910367,-39.38943768059696,-29.423978445648796,-29.096168436876933
2*4-11,-28.77750408990068,-46.95710052875349,-27.462988602360863,-28.52368171990433
2*4-16,-26.89036181864646,-31.2659264160337,-116.83219848460351,-31.2366613959127
2*4-17,-170.90512941820668,-30.603195756507873,-130.06681009911,-55.2732654143624
2*4-14,-30.854428299595316,-29.416900691662807,-23.5173418652782,-30.2212705684275
2*4-15,-23.181113894547465,-32.194449816577965,-147.27946714987897,-87.22137452488295
2*5-13,-40.42721961827784,-38.67388375860096,-174.8169306538918,-35.369449151529
2*5-14,-62.68934257801858,-41.2615462799409,-100.27593553751157,-34.67933251176599
2*5-11,-78.51912775716444,-543.0902710160656,-32.431748606591114,-217.04640636856672
2*5-12,-33.26710582061789,-174.7939715494555,-62.37841363250631,-136.68006761105323
2*5-17,-529.3771926732933,-125.67898368516326,-489.00011935859925,-73.6538941680441
2*5-15,-132.28801350902944,-105.59586754822338,-164.22085426851257,-26.89740585616943
2*5-16,-233.64255504089454,-36.23210453184557,-582.6390150591011,-64.85940877168086
2*5-10,-100.44881289655086,-312.4035165231824,-31.59712030797421,-153.13230306922716
4*0-10,-555.9808189678794,-77.90287133608923,-184.4712912888528,-181.32840751963923
4*0-11,-213.10149826890748,-61.57492732986498,-289.05000486817266,-77.15513512146026
4*0-14,-36.829482617656375,-41.5431165096073,-33.1189630826104,-68.82772593089128
4*0-15,-102.6880737033485,-45.24457214170873,-39.64353597475989,-393.9115649975483
4*0-12,-351.22219764472754,-47.97813160867072,-134.91107837621618,-304.7806443723042
4*0-13,-170.41641652108325,-75.65365012786972,-39.094231291842334,-222.58249187089135
4*0-16,-40.31510324074612,-221.9960892631923,-68.07652980109667,-664.9526078582413
4*0-17,-164.83240900384325,-596.8164178556145,-42.32494695053575,-510.1508209307318
2*3-17,-25.397172004214383,-29.286102416306207,-23.152210746601817,-24.966159772320033
2*3-11,-29.949154590008696,-31.25202287462878,-33.670451435103786,-27.49552156120967
2*3-12,-29.417994966197554,-30.228390589498215,-27.241310105688,-29.528663850816738
2*3-10,-31.036438657364766,-30.65671771362406,-29.3214644616854,-31.308453643181394
2*3-15,-31.007012264263956,-26.791570619963718,-31.815323291148715,-28.828191326447417
2*3-16,-31.02133280222951,-31.783082758481275,-30.376373629921776,-25.16282822136236
2*3-13,-32.518664452482895,-27.38806326961538,-29.29595214593178,-29.510750430665468
2*3-14,-28.882781050889697,-159.7154534205711,-28.812763036180872,-25.571048246302365
4*1-11,-24.874010623790937,-23.026366929837863,-22.74958208125971,-23.60177510763907
4*1-12,-28.514782571576486,-26.386478494997938,-29.291527317605617,-119.91344115162156
4*1-10,-52.991360972890575,-22.174988716703933,-19.45341374088709,-25.569226300363688
4*1-15,-34.43484429527677,-43.82808179151436,-34.3717618964169,-36.96592164693924
4*1-16,-28.50264107961204,-31.85804325831992,-30.012028336688907,-30.306124791158123
4*1-13,-27.069654850325534,-46.06748100549313,-34.68080924625954,-34.75726406612231
4*1-14,-38.444261352657755,-41.05915168722025,-37.84672254040811,-38.83942986627393
0*2-5,-31.082089321190256,-243.5358481415559,-101.84175686143541,-833.2936192880944
0*2-6,-28.64945553975464,-527.2843337958268,-41.13537411780821,-45.486335636990844
0*2-7,-31.422976517312787,-267.90389830667544,-29.611448478978353,-76.10266264933027
4*1-17,-29.433912437507242,-31.22238051370725,-24.989785011236485,-30.660984141057778
0*2-8,-30.980040554236016,-46.7539173244211,-31.911163546834487,-27.528102907754928
0*2-9,-33.52267832126704,-30.220631367683367,-35.230030018166254,-32.61148275604304
0*2-0,-79.62191518205383,-29.956198592186432,-29.953106050981418,-82.88525370787147
0*2-1,-32.13030285286343,-166.91601305434514,-36.50616695287897,-88.31556201977426
0*2-2,-47.334464782845195,-387.5899448547586,-36.096270622811744,-474.7317643161401
0*2-3,-83.26574581133382,-269.32769364370625,-32.30997662567644,-795.7467920201705
0*2-4,-36.83491772637941,-639.2268965181246,-87.50472253716487,-666.8337495448078
0*1-6,-248.82486089003734,-367.1805839986578,-45.20823269025583,-185.07544135176073
1*0-4,-43.17675947300437,-57.59658176941073,-306.72984603160364,-306.97943747846375
0*1-7,-40.751071945222996,-278.9640562400435,-155.83230654537988,-282.80219907158795
1*0-5,-107.54818656679387,-273.42481653609025,-147.72174878122624,-32.9973555175186
0*1-8,-43.01099922426709,-196.4159963616894,-43.97072782624618,-36.243287880061466
1*0-2,-35.12887968546038,-304.74481202282783,-189.33654981522128,-167.5094787415388
0*1-9,-238.99274036536715,-66.03803021316966,-242.5825598680328,-31.32880869410583
1*0-3,-41.420384379208606,-316.2084022702311,-127.93832806687537,-216.48818078885617
1*0-0,-35.563992010923634,-314.61226234569756,-33.16723920204438,-420.217937233159
1*0-1,-29.191785984762127,-521.6145355680729,-40.83063265220443,-263.9814381380394
0*5-10,-209.44829821249374,-394.46070110055246,-407.36027124453875,-530.3630997846838
0*5-12,-540.120203167549,-145.10711421294877,-257.57460865122096,-52.81948327894275
0*1-0,-119.20318456805325,-145.82392201520798,-51.67264857218938,-233.1117768619312
0*5-11,-476.34008911294103,-634.3618826556572,-1037.7605764985162,-120.80084334855322
0*1-1,-74.72747881452051,-163.3389080797107,-38.189526982043546,-328.9101001568497
0*5-14,-723.7903981700821,-169.56300345982223,-526.0527048791253,-55.25884749904104
0*1-2,-38.0795071721059,-413.0943204674427,-152.6658215623131,-280.16030531239676
1*0-8,-462.594517747923,-33.11769146926143,-303.1294404233098,-28.792849245296424
0*5-13,-409.26193112127567,-370.58408694676524,-584.3903950755102,-62.460368250790225
1*0-9,-267.39497838366276,-146.14693648681356,-518.9114415532938,-29.390176129145363
0*1-3,-57.40925578390179,-277.4334801936648,-186.0161840289255,-519.328147151953
0*5-16,-452.64478931707436,-42.280486628599036,-601.2050309208756,-108.27674901136135
0*1-4,-39.874748858215646,-523.421992838986,-36.842692230695505,-106.7636620792198
1*0-6,-196.40823792522585,-147.0890057639295,-242.1495263854735,-29.027378706730357
0*5-15,-673.0527195839262,-93.04165883761442,-551.6263676029345,-36.98872251626936
1*0-7,-195.0559179110921,-35.37415113574471,-284.64044971247216,-32.37333006761671
0*1-5,-36.02723139918259,-585.2784069214772,-100.09449203715208,-354.40154349654404
0*5-17,-411.2652061130348,-38.438366894945275,-773.9677479689118,-254.8599326544559
