,-1.153876784830188,0.0,0.0,0.0
5*1-5,-158.21914755339319,-27.53768386005473,-327.78905413873156,-167.97487598006938
5*1-6,-287.08319960878293,-42.7510122199306,-114.50159322960697,-181.33991374348173
5*1-3,-99.61946583609796,-45.65584634419093,-497.325781378848,-32.31694292285061
5*1-4,-89.9791661976515,-154.52736308849603,-332.5784211055317,-29.29382392048408
5*1-1,-37.30049361400425,-60.39108740841496,-445.4961707630979,-31.258661780234945
5*1-2,-209.48642995327123,-50.82203510500097,-355.67792716402045,-34.35377809297749
5*0-16,-82.95204966734934,-380.6974871009638,-80.45183218416517,-463.2284859216866
5*1-0,-93.54646463642895,-203.24365126157664,-385.07564761774114,-219.388980470551
5*0-15,-55.15817953921639,-231.8720473883532,-57.856772849186555,-842.8922898872036
5*0-14,-321.6990495967075,-850.4352470435148,-98.15865679304457,-325.53827663413733
5*0-13,-269.0990311704416,-566.8919986833982,-82.9612973761287,-370.14022137144497
5*0-12,-324.2609021892431,-396.1905123722174,-81.07421450575792,-268.4844673698129
5*0-11,-526.1699128745702,-385.55793164313303,-146.1882427083202,-729.4976251688502
5*0-10,-532.1930898573418,-494.16293381864836,-407.7400480400123,-656.9319693392732
5*0-17,-141.10236744433897,-513.8846384119238,-238.74453123696472,-499.429927621634
3*4-10,-28.356084628829727,-28.350826330310333,-30.10282322454899,-28.153915765838782
4*4-0,-30.580618725376148,-30.449776789225986,-30.839590386249025,-22.97824662324807
4*4-1,-126.62607598999686,-23.76805484652969,-32.39381648157867,-32.44146686394196
4*4-2,-137.28461848233198,-58.96992083053886,-147.56841435193402,-32.559618101685665
4*4-3,-30.981904647172584,-161.45408549488346,-31.2120970323938,-25.302211117260782
4*4-4,-30.55937408674019,-23.009873424413176,-133.83359782810103,-30.58127440626895
4*4-5,-31.32013897053136,-31.022131740595835,-31.27563987479667,-23.972385222661124
5*2-8,-328.5510083687571,-26.208962776050328,-42.11608661165047,-67.92550258785776
4*4-6,-30.348780578765602,-24.54749210527331,-31.540555608404496,-142.4353530675762
5*2-9,-166.15932923109682,-163.25980364757945,-51.82343800998339,-491.69786283088894
4*4-7,-27.869299592747982,-34.731841120385425,-36.0655137328591,-122.03272389641697
5*2-6,-423.2622531827292,-34.7106501895664,-200.23036020106863,-26.895485946071044
3*4-17,-33.95117184040964,-32.52148460283293,-182.21498209214107,-26.946780592424975
4*4-8,-33.75100130228599,-34.20591829491848,-32.92763452008743,-36.3529543175311
5*2-7,-259.8851206811702,-36.289670353427375,-40.96483795148156,-27.58245700873949
4*4-9,-33.197809318148515,-35.19427545925455,-27.426442405574218,-34.98183321921162
3*4-16,-30.0514850654435,-28.58659623890117,-29.94272690657449,-30.680005478702082
5*2-4,-617.7620692510893,-185.2282528868089,-647.5064596186003,-52.98692815565954
3*4-15,-12.582899611139643,-28.94840660123784,-120.74760657461674,-27.386469462722378
5*2-5,-180.89559176334222,-149.50887550354005,-346.29395085837615,-39.59348575350422
3*4-14,-24.530516134787828,-30.961805528050053,-28.19452134657518,-16.20194476438876
5*2-2,-242.1952108911919,-33.91296026706141,-293.16575333912505,-29.653478237477863
3*4-13,-26.250166838764358,-31.32545377468512,-32.320776022756725,-29.33143361772574
5*2-3,-386.82078162642983,-31.532136893163162,-489.4119190668309,-63.609067724310286
3*4-12,-28.692957277368453,-29.7167957546074,-28.395937801856725,-23.930347787903337
5*2-0,-65.70678048192396,-47.47654154966481,-81.03625487530998,-30.62496540459417
3*4-11,-32.33251353570299,-28.67249235513191,-30.746615593726467,-30.867849921628334
5*2-1,-65.58720678662625,-38.759784260347885,-62.2359885405874,-115.79696837155463
2*2-17,-26.44743852929585,-30.38914922015005,-29.316847638785937,-21.174391892546208
2*2-16,-28.342093123365622,-28.780805909476822,-21.654545039618856,-27.54761631957868
2*2-11,-30.612745873913706,-28.84178384675617,-20.195923008604048,-28.120538750565863
2*2-10,-30.608658445429246,-28.742983347958035,-25.906038776917466,-27.778066954421856
2*2-13,-29.24343828475744,-27.323484838709355,-29.734689627858597,-23.06089085235088
2*2-12,-32.056830265499805,-19.38160589181505,-31.395315118050355,-31.924033611186054
2*2-15,-30.19388979419172,-29.333799201870107,-24.81639824598163,-27.828651768749843
2*2-14,-27.767591256702808,-29.323199316272383,-28.679485344087915,-28.54770664845978
1*0-12,-202.7905071310314,-36.410781960976934,-48.493609908187516,-30.375762557808258
1*0-11,-397.9187795961501,-33.25118460949731,-327.58845030375437,-54.557487798468735
1*0-10,-355.89071512227565,-29.946092305307296,-173.86654012031903,-62.78385080861022
1*0-16,-50.10791172539627,-397.33305264976343,-31.095305271030966,-744.9721563073155
1*0-15,-155.76852914951175,-184.55068675504708,-22.52592986933719,-169.09818172359365
1*0-14,-58.03369028490489,-42.98627829867414,-26.136355281873655,-312.4183812363737
1*0-13,-269.19917729706674,-35.21416240577381,-31.75841608370077,-48.87331546054135
